manufacturer_id,manufacturer,brand,item_id,item_name,item_type,contact_name,contact_email,year_of_start,production_capacity_lit,ownership_type,certifictaion_status,address,city,county,zipcode,Arizona,country,latitude,longitude
MNFR0001,Diageo Group,Diageo,100001,Johnnie Walker ,congnac,Lisa Cooper,lisa.cooper.manufacture@gmail.com,1992,96467,Community-Owned Distillery,certified,13 Catalpa Dogwood,Olympia,Wayne,64101,Washington,united states,26.95746259,-81.99280892
MNFR0001,Diageo Group,Diageo,100002,Guinness ,whisky,Michael Henry,michael.henry.manufacture@gmail.com,1988,66480,Contract Distillery,certified,173 Holly Elm,Detroit,Essex,43201,Michigan,united states,30.21005004,-90.04352363
MNFR0001,Diageo Group,Diageo,100003,Smirnoff ,whisky,Savannah Riley,savannah.riley.manufacture@gmail.com,1981,91367,State-Owned Distillery,certified,115 Maple campe,Miami,Essex,90001,Florida,united states,73.54501442,-126.8937957
MNFR0001,Diageo Group,Diageo,100004,Tanqueray ,wine,John Foley,john.foley.manufacture@gmail.com,1988,73428,Contract Distillery,certified,122 Pine Main,Columbus,Wayne,33101,Ohio,united states,-40.55163084,116.8911143
MNFR0002,Pernod Ricard,Ricard,100005,Jameson ,vodka,Christopher Davis MD,christopher.davis.manufacture@gmail.com,2008,95493,Craft Distillery,certified,77 Magnolia Elm,Manhattan,Harris,38101,New York,united states,50.69692709,-5.594062867
MNFR0002,Pernod Ricard,Ricard,100006,Absolut Vodka ,gin,Jason Simmons,jason.simmons.manufacture@gmail.com,1985,82366,State-Owned Distillery,certified,182 Cypress Main,Newark,Franklin,8601,New Jersey,united states,52.34895631,-5.633562845
MNFR0002,Pernod Ricard,Ricard,100007,Chivas Regal ,congnac,Zachary Gardner,zachary.gardner.manufacture@gmail.com,2005,68547,Contract Distillery,certified,10 Linden Mulberry,Memphis,Miami-Dade,37201,Tennessee,united states,45.23910105,-115.5554199
MNFR0002,Pernod Ricard,Ricard,100008,Beefeater ,whisky,Mary Pollard,mary.pollard.manufacture@gmail.com,2008,86562,Corporate-Owned Distillery,certified,79 Catalpa Mulberry,Austin,Wayne,73301,Texas,united states,56.85946431,-3.082933646
MNFR0005,Beam Suntory,Suntory,100015,Jim Beam ,congnac,Edward Jennings,edward.jennings.manufacture@gmail.com,1992,86420,Contract Distillery,certified,172 Holly Elm,Los Angles,Miami-Dade,55401,California,united states,49.85976759,-1.124230555
MNFR0005,Beam Suntory,Suntory,100016,Maker's Mark ,liqueur,Joseph Holland,joseph.holland.manufacture@gmail.com,2002,59454,Private Equity-Owned Distillery,certified,142 Fir Mulberry,Tucson,Cook,37201,Arizona,united states,53.13062235,-1.990682852
MNFR0005,Beam Suntory ,Suntory,100017,Suntory Whisky ,wine,Derrick Robinson,derrick.robinson.manufacture@gmail.com,2002,93671,Contract Distillery,certified,74 Walnut Elm,Charlotte,Fairfax,73301,North Carolina,united states,55.28965939,-139.2791928
MNFR0007,The Edrington Group,Edrington,100021,The Macallan ,beer,Courtney White,courtney.white.manufacture@gmail.com,2002,99287,Independent Distillery,certified,51 Alder Yew,Seattle,Allegheny,90001,Washington,united states,-24.07861689,122.369445
MNFR0007,The Edrington Group,Edrington,100022,Highland Park ,gin,Jeffrey Church,jeffrey.church.manufacture@gmail.com,2005,81290,Independent Distillery,certified,63 Larch campe,Lansing,Kings,15201,Michigan,united states,44.50591878,-138.2246054
MNFR0007,The Edrington Group,Edrington,100023,Famous Grouse ,vodka,Kenneth Gentry,kenneth.gentry.manufacture@gmail.com,2005,65325,Independent Distillery,certified,33 Sycamore Main,Orlando,St. Louis,43201,Florida,united states,55.79860238,-1.111094479
MNFR0009,Constellation Brands,Constellation,100027,Corona ,vodka,Jimmy Reilly,jimmy.reilly.manufacture@gmail.com,2002,77046,Cooperative Distillery,certified,151 Cedar st,Akron,Hennepin,37201,Ohio,united states,83.64496867,-67.13537273
MNFR0009,Constellation Brands,Constellation,100028,Modelo ,rum,Sarah Phillips,sarah.phillips.manufacture@gmail.com,1988,97709,Corporate-Owned Distillery,certified,130 Walnut Mulberry,Brooklyn,Cook,43201,New York,united states,46.00223528,-72.59926696
MNFR0009,Constellation Brands,Constellation,100029,Robert Mondavi ,vodka,Matthew Schneider,matthew.schneider.manufacture@gmail.com,1973,88812,State-Owned Distillery,certified,74 Locust Elm,Trenton,Los Angeles,30301,New Jersey,united states,59.44141941,-56.41916561
MNFR0010,Heaven Hill Brands,Heaven,100030,Evan Williams ,gin,Mary Farmer,mary.farmer.manufacture@gmail.com,1981,60088,State-Owned Distillery,certified,123 Redwood Yew,Columbia,Franklin,98101,Tennessee,united states,-19.17794493,115.4225912
MNFR0010,Heaven Hill Brands,Heaven,100031,Elijah Craig ,tequila,Tommy Arellano,tommy.arellano.manufacture@gmail.com,2008,81692,State-Owned Distillery,certified,140 Vine Dogwood,Houston,Harris,77001,Texas,united states,60.46938433,-7.814492669
MNFR0010,Heaven Hill Brands,Heaven,100032,Larceny ,liqueur,Michael Hess,michael.hess.manufacture@gmail.com,2005,52093,Private Equity-Owned Distillery,certified,116 Walnut Mulberry,San Jose,Kings,38101,California,united states,46.71034279,-62.34142247
MNFR0010,Heaven Hill Brands,Hill,100052,Parker's Heritage Collection ,tequila,Dr. William Garrett DDS,dr..william.manufacture@gmail.com,1979,52062,Independent Distillery,certified,170 Sycamore Main,Sedona,Shelby,73301,Arizona,united states,65.5775257,-105.1224865
MNFR0011,Jose Cuervo,Jose,100033,Jose Cuervo ,rum,Paula Daniel,paula.daniel.manufacture@gmail.com,2005,90758,Cooperative Distillery,certified,128 Willow st,Raleigh,Harris,8601,North Carolina,united states,66.18934115,-94.81115275
MNFR0011,Jose Cuervo,Jose,100034,1800 Tequila ,whisky,Dr. Andrea Rodriguez,dr..andrea.manufacture@gmail.com,2005,97616,Cooperative Distillery,certified,185 Sycamore Dogwood,Tacoma,Mecklenburg,85001,Washington,united states,57.2662381,-5.523002232
MNFR0012,Luxco,Luxco,100035,Rebel Yell ,tequila,Johnathan Wright,johnathan.wright.manufacture@gmail.com,1992,90084,State-Owned Distillery,certified,130 Beech Yew,Flint,Los Angeles,10001,Michigan,united states,55.78087938,-3.377388932
MNFR0012,Luxco,Luxco,100036,Ezra Brooks ,congnac,Larry Williams,larry.williams.manufacture@gmail.com,1992,85581,Craft Distillery,certified,164 Magnolia Main,Tampa,Kings,60601,Florida,united states,60.07885707,-93.00565983
